choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
8,13696,80,0.10134996748547564,102,10869,46,51,61,66,40,80,38,36,80,50,1,63,76,38,74,48,73,71,66,54,54,25,51,36,36,42
8,13784,84,0.17077357514790492,102,10953,51,51,69,56,41,88,31,46,84,58,1,67,78,42,82,47,70,63,53,47,53,29,43,27,37,47
8,13862,77,0.20133153440110618,102,11030,46,36,65,67,43,78,27,53,77,52,7,62,73,37,77,52,66,59,52,51,51,25,53,30,37,40
8,13943,80,0.2982940435540513,102,11110,48,44,58,67,50,81,27,52,80,50,1,70,73,37,75,57,64,70,56,46,62,11,52,29,36,37
8,14025,82,0.24921979406190076,102,11192,45,48,70,63,35,76,31,63,82,52,1,63,64,38,69,58,60,57,58,47,46,25,56,31,33,61
8,14106,81,0.3725249742701635,102,11273,50,44,68,75,39,78,25,49,81,55,4,54,61,44,81,63,62,51,51,46,42,20,49,30,44,56
8,14187,81,0.36529446853819536,102,11354,47,50,57,75,36,71,12,45,81,51,3,52,56,44,76,52,57,52,44,49,52,21,57,31,36,66
8,14273,86,0.4473844219946841,102,11440,45,37,57,70,40,74,12,41,86,53,17,57,51,50,72,56,65,58,59,47,50,19,51,23,30,48
8,14356,83,0.3127851367889889,102,11523,41,43,62,71,28,71,22,50,83,50,5,53,56,48,68,57,67,56,62,43,67,19,58,26,27,54
8,14440,84,0.010094034337271296,102,11607,42,43,57,67,35,82,24,55,84,59,9,55,58,44,60,53,69,58,60,43,50,20,60,27,29,61
8,14518,78,0.19093988254007854,102,11685,38,46,55,73,30,73,22,50,78,56,18,71,50,42,60,47,57,58,56,37,58,22,64,29,32,58
8,14607,89,1.035368482495869,102,11774,39,49,53,66,36,74,22,61,89,52,19,56,56,36,66,57,64,59,71,40,56,22,56,31,31,74
8,14692,85,1.541505163824695,102,11859,34,44,54,65,31,73,13,54,85,54,18,47,61,39,63,55,64,70,70,38,60,16,58,40,30,61
8,14784,92,0.38787819826848136,102,11951,43,41,50,70,29,80,21,57,92,68,24,58,61,35,65,63,62,59,62,42,67,18,49,41,30,59
8,14870,73,0.4159540913769888,102,12024,34,38,42,74,25,86,21,56,73,49,22,48,54,35,65,57,74,69,67,50,59,24,55,46,39,62
8,14950,77,0.4591201529947284,102,12101,35,30,53,75,26,76,21,50,77,56,28,51,55,36,65,53,80,55,58,46,65,29,48,35,37,66
8,15028,78,0.28801119809941156,102,12179,37,30,55,74,19,75,17,58,78,53,25,53,53,31,69,59,73,65,65,49,68,20,46,42,32,63
8,15107,78,4.292707154597338,102,12257,38,41,51,79,27,74,20,55,78,57,32,55,57,34,61,55,78,52,61,51,76,22,51,34,29,69
8,15189,75,0.09202141822152043,102,12332,33,50,49,79,26,71,17,56,75,52,24,50,54,32,67,59,82,54,58,48,62,33,52,38,35,66
8,15270,79,0.09763454872245347,102,12411,53,50,60,81,35,79,20,52,79,56,20,46,50,36,72,59,76,58,61,51,67,30,54,38,25,61
8,15355,85,0.1846323111503807,102,12496,40,47,51,78,35,75,26,55,85,55,23,47,49,36,62,63,73,59,55,48,70,24,43,35,18,70
8,15441,86,2.837135370530632,102,12582,36,53,50,86,43,75,34,44,86,44,29,56,50,38,67,59,79,62,54,53,65,31,42,27,28,66
8,15525,79,0.08173985284247465,102,12661,30,45,53,70,43,84,27,49,79,54,24,60,48,38,65,62,79,54,55,53,61,26,53,40,23,68
8,15614,79,0.20172835776520515,102,12740,37,45,53,79,34,89,26,46,79,55,22,54,55,27,76,57,71,57,50,50,64,30,54,32,17,66
8,15704,66,0.07059295651379216,102,12806,41,42,52,83,38,78,26,54,66,43,20,60,51,27,71,52,90,57,56,51,69,31,57,44,17,63
8,15790,73,0.3355295159781235,102,12879,42,47,55,80,38,84,36,47,73,47,23,61,52,31,64,56,86,58,51,62,61,29,56,45,22,61
8,15874,68,0.3864131520067531,102,12947,40,58,60,80,33,78,28,52,68,51,20,66,55,40,66,64,84,56,53,50,65,26,51,46,15,59
8,15961,72,0.4714351181000893,102,13019,39,47,58,87,30,79,28,42,72,41,18,63,55,37,69,52,85,44,59,52,66,35,48,35,26,69
13,16048,44,0.36291992872520495,102,13063,42,55,58,83,27,87,32,42,69,46,29,67,48,44,62,59,87,56,59,45,69,36,48,34,16,70
8,16145,75,0.2679754583950853,102,13138,46,47,55,76,29,97,27,54,75,39,29,55,45,43,69,64,89,47,58,44,65,31,44,34,3,64
8,16231,57,0.31578563345829025,102,13195,42,49,52,79,33,86,35,45,57,44,31,61,47,48,69,58,84,58,52,45,67,36,51,35,15,64
8,16326,59,0.32835661363697,102,13254,43,44,51,86,17,80,30,48,59,32,36,50,49,41,59,60,95,48,57,44,68,37,50,45,24,59
8,16419,64,0.3650762156876226,102,13318,53,58,44,79,23,79,34,51,64,27,30,47,52,47,67,51,93,53,63,38,61,39,48,48,27,52
